date,time,x,y,altitude
6/6/2014,10:08:54,-75.17232,39.96594,20.07
6/6/2014,10:08:55,-75.172321,39.965939,20.02
6/6/2014,10:08:56,-75.172321,39.965938,20
6/6/2014,10:08:57,-75.172321,39.965938,20.01
6/6/2014,10:08:58,-75.172323,39.965936,20
6/6/2014,10:08:59,-75.172328,39.96593,20.07
6/6/2014,10:09:00,-75.172328,39.965927,19.94
6/6/2014,10:09:01,-75.172324,39.965929,19.57
6/6/2014,10:09:02,-75.172322,39.96593,19.07
6/6/2014,10:09:03,-75.17232,39.96593,18.92
6/6/2014,10:09:04,-75.172321,39.96593,19.02
6/6/2014,10:09:05,-75.172323,39.965929,19.13
6/6/2014,10:09:06,-75.172323,39.965929,19.28
6/6/2014,10:09:07,-75.172323,39.965929,19.29
6/6/2014,10:09:08,-75.172322,39.965931,19.28
6/6/2014,10:09:09,-75.172324,39.965929,19.26
6/6/2014,10:09:10,-75.172325,39.965927,19.24
6/6/2014,10:09:11,-75.172326,39.965925,19.21
6/6/2014,10:09:12,-75.172326,39.965924,19.2
6/6/2014,10:09:13,-75.172327,39.965923,19.19
6/6/2014,10:09:14,-75.172328,39.965922,19.18
6/6/2014,10:09:15,-75.172329,39.96592,19.16
6/6/2014,10:09:16,-75.17233,39.965919,19.15
6/6/2014,10:09:17,-75.172331,39.965917,19.12
6/6/2014,10:09:18,-75.172332,39.965917,19.1
6/6/2014,10:09:19,-75.172331,39.965917,19.09
6/6/2014,10:09:21,-75.172331,39.965918,19.08
6/6/2014,10:09:22,-75.17233,39.965919,19.09
6/6/2014,10:09:23,-75.172329,39.96592,19.1
6/6/2014,10:09:24,-75.172328,39.965921,19.1
6/6/2014,10:09:25,-75.172327,39.965923,19.1
6/6/2014,10:09:26,-75.172326,39.965924,19.08
6/6/2014,10:09:27,-75.172326,39.965925,19.06
6/6/2014,10:09:28,-75.172325,39.965926,19.04
6/6/2014,10:09:29,-75.172325,39.965927,19.02
6/6/2014,10:09:30,-75.172324,39.965928,19.02
6/6/2014,10:09:31,-75.172323,39.965929,19.01
6/6/2014,10:09:32,-75.172323,39.96593,18.99
6/6/2014,10:09:33,-75.172322,39.965931,18.99
6/6/2014,10:09:34,-75.172322,39.965932,18.98
6/6/2014,10:09:35,-75.172322,39.965933,18.97
6/6/2014,10:09:36,-75.172322,39.965934,18.97
6/6/2014,10:09:37,-75.172322,39.965934,18.96
6/6/2014,10:09:38,-75.172321,39.965934,18.96
6/6/2014,10:09:39,-75.17232,39.965936,18.96
6/6/2014,10:09:40,-75.17232,39.965938,18.97
6/6/2014,10:09:41,-75.172319,39.96594,18.99
6/6/2014,10:09:42,-75.172318,39.965941,18.99
6/6/2014,10:09:43,-75.172316,39.965942,19
6/6/2014,10:09:44,-75.172315,39.965941,18.99
6/6/2014,10:09:45,-75.172314,39.96594,18.97
6/6/2014,10:09:46,-75.172313,39.96594,18.95
6/6/2014,10:09:47,-75.172312,39.96594,18.93
6/6/2014,10:09:48,-75.172311,39.965941,18.92
6/6/2014,10:09:49,-75.17231,39.965941,18.92
6/6/2014,10:09:50,-75.17231,39.965941,18.91
6/6/2014,10:09:51,-75.172311,39.96594,18.89
6/6/2014,10:09:52,-75.172311,39.96594,18.87
6/6/2014,10:09:53,-75.172311,39.96594,18.85
6/6/2014,10:09:54,-75.172311,39.965941,18.84
6/6/2014,10:09:55,-75.17231,39.965941,18.83
6/6/2014,10:09:56,-75.172309,39.965941,18.82
6/6/2014,10:09:57,-75.172308,39.965941,18.81
6/6/2014,10:09:58,-75.172306,39.965942,18.81
6/6/2014,10:09:59,-75.172305,39.965943,18.8
6/6/2014,10:10:00,-75.172302,39.965944,18.79
6/6/2014,10:10:01,-75.1723,39.965945,18.78
6/6/2014,10:10:02,-75.172299,39.965946,18.78
6/6/2014,10:10:03,-75.172299,39.965946,18.78
6/6/2014,10:10:04,-75.172298,39.965947,18.78
6/6/2014,10:10:05,-75.172297,39.965948,18.77
6/6/2014,10:10:06,-75.172297,39.965949,18.76
6/6/2014,10:10:07,-75.172296,39.96595,18.75
6/6/2014,10:10:08,-75.172294,39.965952,18.75
6/6/2014,10:10:09,-75.172293,39.965954,18.75
6/6/2014,10:10:10,-75.172291,39.965956,18.76
6/6/2014,10:10:11,-75.17229,39.965958,18.75
6/6/2014,10:10:12,-75.172289,39.965959,18.76
6/6/2014,10:10:13,-75.172289,39.965959,18.76
6/6/2014,10:10:14,-75.172289,39.96596,18.76
6/6/2014,10:10:15,-75.172289,39.965961,18.76
6/6/2014,10:10:16,-75.172288,39.965961,18.76
6/6/2014,10:10:43,-75.17228,39.965743,-0.68
6/6/2014,10:10:44,-75.172316,39.965759,-7.66
6/6/2014,10:10:45,-75.172352,39.965771,-10.54
6/6/2014,10:10:46,-75.172366,39.965765,-15.03
6/6/2014,10:10:47,-75.172366,39.96576,-16.28
6/6/2014,10:10:48,-75.17238,39.965754,-20.67
6/6/2014,10:10:49,-75.172381,39.965763,-18.25
6/6/2014,10:10:50,-75.172376,39.965767,-18.11
6/6/2014,10:10:51,-75.172366,39.965755,-19.74
6/6/2014,10:10:52,-75.172365,39.965755,-18.28
6/6/2014,10:10:53,-75.172361,39.965766,-17.69
6/6/2014,10:10:54,-75.172363,39.965786,-15.06
6/6/2014,10:10:55,-75.172359,39.965796,-13.75
6/6/2014,10:10:56,-75.172356,39.965796,-13.82
6/6/2014,10:10:57,-75.172352,39.965797,-12.78
6/6/2014,10:10:58,-75.172351,39.965802,-12.17
6/6/2014,10:10:59,-75.172345,39.965809,-10.68
6/6/2014,10:27:57,-75.172426,39.965939,2.08
6/6/2014,10:27:58,-75.172437,39.965947,2.04
6/6/2014,10:27:59,-75.172446,39.965952,2.13
6/6/2014,10:28:12,-75.172541,39.966013,2.13
6/6/2014,10:28:15,-75.172542,39.966017,2.19
6/6/2014,10:28:16,-75.172526,39.966008,-0.39
6/6/2014,10:28:17,-75.17252,39.965997,2.11
6/6/2014,10:28:18,-75.17248,39.965981,0.4
6/6/2014,10:28:19,-75.172477,39.965977,2.32
6/6/2014,10:28:20,-75.172468,39.965979,4.15
6/6/2014,10:28:21,-75.172468,39.965984,3.6
6/6/2014,10:28:22,-75.172468,39.966006,2.01
6/6/2014,10:28:23,-75.172431,39.966014,5.69
6/6/2014,10:28:24,-75.17237,39.966041,9.51
6/6/2014,10:28:25,-75.172343,39.96605,9.94
6/6/2014,10:28:26,-75.17233,39.966035,8.71
6/6/2014,10:28:27,-75.172343,39.966017,8.18
6/6/2014,10:28:28,-75.172353,39.966019,8.1
6/6/2014,10:28:29,-75.172367,39.966018,8.11
6/6/2014,10:28:30,-75.172374,39.966017,8.28
6/6/2014,10:28:31,-75.172385,39.966019,8.44
6/6/2014,10:28:32,-75.172391,39.966021,8.02
6/6/2014,10:28:33,-75.172392,39.966021,7.15
6/6/2014,10:28:34,-75.172363,39.966007,2.92
6/6/2014,10:28:35,-75.17236,39.966008,2.35
6/6/2014,10:28:36,-75.17236,39.966011,2.46
6/6/2014,10:28:37,-75.172353,39.966013,1.79
6/6/2014,10:28:38,-75.172345,39.966015,0.89
6/6/2014,10:28:39,-75.172345,39.966023,1.08
6/6/2014,10:28:40,-75.172345,39.966029,1.22
6/6/2014,10:28:41,-75.172346,39.966034,1.77
6/6/2014,10:28:42,-75.172344,39.966044,1.74
6/6/2014,10:28:43,-75.172348,39.966055,2
6/6/2014,10:28:44,-75.172345,39.96607,1.93
6/6/2014,10:28:45,-75.172344,39.966084,1.9
6/6/2014,10:28:46,-75.172344,39.966095,1.96
6/6/2014,10:28:47,-75.172342,39.966105,2.14
6/6/2014,10:28:48,-75.172338,39.966114,2.29
6/6/2014,10:28:49,-75.172337,39.966124,2.55
6/6/2014,10:28:50,-75.172333,39.966133,2.88
6/6/2014,10:28:51,-75.172333,39.966146,2.77
6/6/2014,10:28:52,-75.172336,39.966159,2.86
6/6/2014,10:28:53,-75.172333,39.96617,2.86
6/6/2014,10:28:54,-75.172329,39.966183,2.77
6/6/2014,10:28:55,-75.172327,39.966199,2.44
6/6/2014,10:28:56,-75.172323,39.966214,1.78
6/6/2014,10:28:57,-75.172316,39.966219,1.7
6/6/2014,10:28:58,-75.172304,39.966214,0.63
6/6/2014,10:28:59,-75.172305,39.966223,0.75
6/6/2014,10:29:00,-75.172303,39.966236,0.62
6/6/2014,10:29:01,-75.172301,39.96625,0.57
6/6/2014,10:29:02,-75.172297,39.966262,0.49
6/6/2014,10:29:03,-75.172295,39.966272,0.59
6/6/2014,10:29:04,-75.172295,39.966286,0.29
6/6/2014,10:29:05,-75.172292,39.966298,0.36
6/6/2014,10:29:06,-75.172287,39.966309,0.24
6/6/2014,10:29:07,-75.172283,39.96632,0.29
6/6/2014,10:29:08,-75.172279,39.96633,0.26
6/6/2014,10:29:09,-75.172274,39.966341,0.24
6/6/2014,10:29:10,-75.172268,39.966351,0.45
6/6/2014,10:29:11,-75.172265,39.966364,0.56
6/6/2014,10:29:12,-75.172265,39.966376,0.56
6/6/2014,10:29:13,-75.172262,39.966388,0.77
6/6/2014,10:29:14,-75.172258,39.966397,1.05
6/6/2014,10:29:15,-75.172255,39.966408,1.2
6/6/2014,10:29:16,-75.172254,39.966421,1.38
6/6/2014,10:29:17,-75.172252,39.966441,1.22
6/6/2014,10:29:18,-75.17225,39.966455,1.24
6/6/2014,10:29:19,-75.172253,39.966467,1.53
6/6/2014,10:29:20,-75.172252,39.966477,1.51
6/6/2014,10:29:21,-75.172255,39.966491,1.73
6/6/2014,10:29:22,-75.172256,39.966501,1.85
6/6/2014,10:29:23,-75.172256,39.966509,2.04
6/6/2014,10:29:24,-75.172255,39.966525,2.42
6/6/2014,10:29:25,-75.172259,39.966533,3.02
6/6/2014,10:29:26,-75.17226,39.966539,3.37
